Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11
-0.000533000,1,0,1,0,1,1,1,1,1,1,1,1
-0.000500000,1,0,1,0,1,1,1,1,1,1,1,0
-0.000083000,0,0,0,0,0,0,0,0,0,0,0,0
-0.000078000,1,0,1,0,1,1,1,1,1,1,1,0
0.000000000,1,0,1,0,1,1,1,1,1,1,1,1
0.000500000,1,0,1,0,1,1,1,1,1,1,1,0
0.000917000,0,0,0,0,0,0,0,0,0,0,0,0
0.000922000,1,0,1,0,1,1,1,1,1,1,1,0
0.001000000,1,0,1,0,1,1,1,1,1,1,1,1
0.001500000,1,0,1,0,1,1,1,1,1,1,1,0
0.001917000,0,0,0,0,0,0,0,0,0,0,0,0
0.001922000,1,0,1,0,1,1,1,1,1,1,1,0
0.002000000,1,0,1,0,1,1,1,1,1,1,1,1
0.002500000,1,0,1,0,1,1,1,1,1,1,1,0
0.002917000,0,0,0,0,0,0,0,0,0,0,0,0
0.002922000,1,1,0,0,1,1,1,1,1,1,1,0
0.003000000,1,1,0,0,1,1,1,1,1,1,1,1
0.003500000,1,1,0,0,1,1,1,1,1,1,1,0
0.003917000,0,0,0,0,0,0,0,0,0,0,0,0
0.003922000,0,0,1,0,1,1,1,1,1,1,1,0
0.004000000,0,0,1,0,1,1,1,1,1,1,1,1
0.004500000,0,0,1,0,1,1,1,1,1,1,1,0
0.004917000,0,0,0,0,0,0,0,0,0,0,0,0
0.004922000,1,0,1,0,1,1,1,1,1,1,1,0
0.005000000,1,0,1,0,1,1,1,1,1,1,1,1
0.005500000,1,0,1,0,1,1,1,1,1,1,1,0
0.005917000,0,0,0,0,0,0,0,0,0,0,0,0
0.005922000,1,1,1,0,1,1,1,1,1,1,1,0
0.006000000,1,1,1,0,1,1,1,1,1,1,1,1
0.006500000,1,1,1,0,1,1,1,1,1,1,1,0
0.006917000,0,0,0,0,0,0,0,0,0,0,0,0
0.006922000,1,0,1,0,1,1,1,1,1,1,1,0
0.007000000,1,0,1,0,1,1,1,1,1,1,1,1
0.007500000,1,0,1,0,1,1,1,1,1,1,1,0
0.007917000,0,0,0,0,0,0,0,0,0,0,0,0
0.007922000,1,0,1,0,1,1,1,1,1,1,1,0
0.008000000,1,0,1,0,1,1,1,1,1,1,1,1
0.008500000,1,0,1,0,1,1,1,1,1,1,1,0
0.008917000,0,0,0,0,0,0,0,0,0,0,0,0
0.008922000,1,0,1,0,1,1,1,1,1,1,1,0
0.009000000,1,0,1,0,1,1,1,1,1,1,1,1
0.009500000,1,0,1,0,1,1,1,1,1,1,1,0
0.009917000,0,0,0,0,0,0,0,0,0,0,0,0
0.009922000,0,0,1,0,1,1,1,1,1,1,1,0
0.010000000,0,0,1,0,1,1,1,1,1,1,1,1
0.010500000,0,0,1,0,1,1,1,1,1,1,1,0
0.010917000,0,0,0,0,0,0,0,0,0,0,0,0
