Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11
-0.000617000,1,1,1,1,1,0,1,0,0,0,0,1
-0.000500000,1,1,1,1,1,0,1,0,0,0,0,0
-0.000084000,0,0,0,0,0,0,0,0,0,0,0,0
-0.000079000,0,1,1,0,0,1,1,0,0,0,0,0
0.000000000,0,1,1,0,0,1,1,0,0,0,0,1
0.000500000,0,1,1,0,0,1,1,0,0,0,0,0
0.000916000,0,0,0,0,0,0,0,0,0,0,0,0
0.000921000,1,1,0,0,0,1,1,0,0,0,0,0
0.001000000,1,1,0,0,0,1,1,0,0,0,0,1
0.001500000,1,1,0,0,0,1,1,0,0,0,0,0
0.001916000,0,0,0,0,0,0,0,0,0,0,0,0
0.001921000,1,1,1,0,1,0,1,0,0,0,0,0
0.002000000,1,1,1,0,1,0,1,0,0,0,0,1
0.002500000,1,1,1,0,1,0,1,0,0,0,0,0
0.002916000,0,0,0,0,0,0,0,0,0,0,0,0
0.002921000,0,1,1,0,0,1,1,0,0,0,0,0
0.003000000,0,1,1,0,0,1,1,0,0,0,0,1
0.003500000,0,1,1,0,0,1,1,0,0,0,0,0
0.003916000,0,0,0,0,0,0,0,0,0,0,0,0
0.003921000,1,0,0,0,0,1,1,0,0,0,0,0
0.004000000,1,0,0,0,0,1,1,0,0,0,0,1
0.004500000,1,0,0,0,0,1,1,0,0,0,0,0
0.004916000,0,0,0,0,0,0,0,0,0,0,0,0
0.004921000,0,1,0,0,0,1,1,0,0,0,0,0
0.005000000,0,1,0,0,0,1,1,0,0,0,0,1
0.005500000,0,1,0,0,0,1,1,0,0,0,0,0
0.005916000,0,0,0,0,0,0,0,0,0,0,0,0
0.005921000,1,0,1,1,1,0,1,0,0,0,0,0
0.006000000,1,0,1,1,1,0,1,0,0,0,0,1
0.006500000,1,0,1,1,1,0,1,0,0,0,0,0
0.006916000,0,0,0,0,0,0,0,0,0,0,0,0
0.006921000,0,1,1,1,1,0,1,0,0,0,0,0
0.007000000,0,1,1,1,1,0,1,0,0,0,0,1
0.007500000,0,1,1,1,1,0,1,0,0,0,0,0
0.007916000,0,0,0,0,0,0,0,0,0,0,0,0
0.007921000,0,1,1,1,1,0,1,0,0,0,0,0
0.008000000,0,1,1,1,1,0,1,0,0,0,0,1
0.008500000,0,1,1,1,1,0,1,0,0,0,0,0
0.008916000,0,0,0,0,0,0,0,0,0,0,0,0
0.008921000,1,1,1,1,1,0,1,0,0,0,0,0
0.009000000,1,1,1,1,1,0,1,0,0,0,0,1
0.009500000,1,1,1,1,1,0,1,0,0,0,0,0
0.009916000,0,0,0,0,0,0,0,0,0,0,0,0
0.009921000,1,0,1,0,0,1,1,0,0,0,0,0
0.010000000,1,0,1,0,0,1,1,0,0,0,0,1
0.010500000,1,0,1,0,0,1,1,0,0,0,0,0
0.010916000,0,0,0,0,0,0,0,0,0,0,0,0
0.010921000,1,1,1,1,1,0,1,0,0,0,0,0
0.011000000,1,1,1,1,1,0,1,0,0,0,0,1
0.011500000,1,1,1,1,1,0,1,0,0,0,0,0
0.011916000,0,0,0,0,0,0,0,0,0,0,0,0
0.011921000,1,0,1,0,0,1,1,0,0,0,0,0
0.012000000,1,0,1,0,0,1,1,0,0,0,0,1
0.012500000,1,0,1,0,0,1,1,0,0,0,0,0
0.012916000,0,0,0,0,0,0,0,0,0,0,0,0
0.012921000,0,1,0,0,0,1,1,0,0,0,0,0
0.013000000,0,1,0,0,0,1,1,0,0,0,0,1
0.013500000,0,1,0,0,0,1,1,0,0,0,0,0
0.013916000,0,0,0,0,0,0,0,0,0,0,0,0
0.013921000,0,1,1,1,1,0,1,0,0,0,0,0
0.014000000,0,1,1,1,1,0,1,0,0,0,0,1
