FS, Input, SNDR
0.035,0.004,14.796008400391013
0.035,0.005,18.05474209601951
0.035,0.008333333333333333,21.974954512834728
0.035,0.011666666666666667,25.845363551665134
0.035,0.013000000000000001,26.42768488652918
0.035,0.015,24.42813187195012
0.035,0.018333333333333333,27.794880076480286
0.035,0.021666666666666667,30.107503534422683
0.035,0.022000000000000002,30.28214003139294
0.035,0.025,31.684195503577364
0.035,0.028333333333333335,33.25477386607074
0.035,0.031000000000000003,34.101756173730976
0.035,0.03166666666666667,34.243576615873
0.035,0.035,34.02131687284936
0.035,0.038500000000000006,25.643699399706463
0.035,0.04,22.09744471324505
0.04,0.004,27.478078584923033
0.04,0.005,18.00492784418037
0.04,0.008888888888888889,25.3558153454955
0.04,0.012777777777777779,29.4110738598496
0.04,0.013000000000000001,29.57426799613751
0.04,0.016666666666666666,30.141505710400853
0.04,0.020555555555555556,32.305142733132435
0.04,0.022000000000000002,33.2370541848888
0.04,0.024444444444444446,34.51763071719834
0.04,0.028333333333333335,35.64201455055753
0.04,0.031000000000000003,36.76168549872115
0.04,0.03222222222222222,37.13751649695907
0.04,0.036111111111111115,37.73726952644675
0.04,0.04,37.50303633775426
0.04,0.04,37.50303633775426
0.04,0.044000000000000004,25.887542005112614
0.045,0.004,27.75453991677096
0.045,0.005,29.499556861471273
0.045,0.009444444444444445,29.00535089893358
0.045,0.013000000000000001,32.54845241756388
0.045,0.013888888888888888,33.3256295946424
0.045,0.018333333333333333,36.08325501876294
0.045,0.022000000000000002,37.26234128493422
0.045,0.02277777777777778,37.685135172332544
0.045,0.027222222222222224,39.33123520126046
0.045,0.031000000000000003,39.50776109178578
0.045,0.03166666666666666,39.478738045894055
0.045,0.03611111111111111,40.58697795495446
0.045,0.04,41.26980124661719
0.045,0.04055555555555555,41.47015360014963
0.045,0.045,40.73569660670628
0.045,0.0495,25.585619608497918
0.05,0.004,27.852494459736718
0.05,0.005,29.82848309230168
0.05,0.010000000000000002,33.35360849661062
0.05,0.013000000000000001,36.162993162142854
0.05,0.015000000000000003,37.58778179884483
0.05,0.020000000000000004,39.785698644668535
0.05,0.022000000000000002,39.72547361600726
0.05,0.025000000000000005,41.401879956749866
0.05,0.030000000000000006,43.15680304794757
0.05,0.031000000000000003,43.15122270011098
0.05,0.035,43.818110031276305
0.05,0.04,44.38376276233064
0.05,0.04,44.38376276233064
0.05,0.045000000000000005,45.42503199326353
0.05,0.05,44.21419044626708
0.05,0.05500000000000001,26.18859768291663
0.06,0.004,27.641556485305458
0.06,0.005,29.420347388792102
0.06,0.011111111111111112,36.32533010352836
0.06,0.013000000000000001,37.452443647815706
0.06,0.017222222222222222,39.86037995300637
0.06,0.022000000000000002,41.917198216529776
0.06,0.023333333333333334,42.55778225782241
0.06,0.029444444444444447,43.875052131795556
0.06,0.031000000000000003,44.25125822294598
0.06,0.035555555555555556,45.528467778441275
0.06,0.04,46.4924323933662
0.06,0.041666666666666664,46.76285522425321
0.06,0.04777777777777778,47.76550300560145
0.06,0.05388888888888889,48.74694614094405
0.06,0.06,47.2692190559946
0.06,0.066,25.268368373303588
0.07,0.004,27.432277574899423
0.07,0.005,29.09018753261829
0.07,0.012222222222222223,36.798366513877646
0.07,0.013000000000000001,37.40598757189022
0.07,0.019444444444444445,40.863138628051495
0.07,0.022000000000000002,41.829729079264965
0.07,0.02666666666666667,43.36987047023555
0.07,0.031000000000000003,44.51865202139796
0.07,0.03388888888888889,44.906888821276596
0.07,0.04,46.206051328005024
0.07,0.04111111111111111,46.41450173330588
0.07,0.04833333333333333,47.88743973761654
0.07,0.05555555555555556,48.77037263191097
0.07,0.06277777777777778,49.772387481774736
0.07,0.07,48.402486501834474
0.07,0.07700000000000001,25.493159605914006
0.08,0.004,27.19428017647935
0.08,0.005,28.9007892920771
0.08,0.013000000000000001,37.15019783561813
0.08,0.013333333333333332,37.25863822261578
0.08,0.021666666666666667,41.288290685673765
0.08,0.022000000000000002,41.481073879309676
0.08,0.030000000000000002,44.02743032641244
0.08,0.031000000000000003,44.33544847094805
0.08,0.03833333333333333,45.56189944527651
0.08,0.04,45.780665495359536
0.08,0.04666666666666666,47.123271079310584
0.08,0.055,48.586966777543466
0.08,0.06333333333333334,49.497063510776144
0.08,0.07166666666666667,50.63290578891272
0.08,0.08,49.68307324472721
0.08,0.08800000000000001,25.349385143495358
0.09,0.004,26.557650275728022
0.09,0.005,28.61191581538663
0.09,0.013000000000000001,36.8866574076805
0.09,0.014444444444444444,37.63462228194126
0.09,0.022000000000000002,40.91768900844454
0.09,0.023888888888888887,41.831165239253
0.09,0.031000000000000003,43.9462665664166
0.09,0.033333333333333326,44.56948689989267
0.09,0.04,46.11573552071186
0.09,0.04277777777777777,46.16512248272508
0.09,0.05222222222222221,47.78943982476441
0.09,0.061666666666666654,49.04015691142774
0.09,0.0711111111111111,50.01540877252815
0.09,0.08055555555555555,51.23986338654283
0.09,0.09,50.16440530775449
0.09,0.099,24.728829004838573
0.1,0.004,26.71770186639167
0.1,0.005,28.47929444074772
0.1,0.013000000000000001,36.5527114292291
0.1,0.015555555555555555,38.21817450020872
0.1,0.022000000000000002,40.949364304551644
0.1,0.026111111111111113,42.435443360474814
0.1,0.031000000000000003,43.67000922514069
0.1,0.03666666666666667,44.94263583767947
0.1,0.04,45.80712270945122
0.1,0.04722222222222222,46.56066245998162
0.1,0.057777777777777775,48.148149790259
0.1,0.06833333333333334,49.80040422024939
0.1,0.0788888888888889,50.810040942905815
0.1,0.08944444444444445,51.6657953737772
0.1,0.1,51.164455370346104
0.1,0.11000000000000001,25.041496153047405
0.12,0.004,25.576939895840127
0.12,0.005,27.277665214610856
0.12,0.013000000000000001,35.431724363686776
0.12,0.017777777777777778,38.484268969205985
0.12,0.022000000000000002,40.068387915611574
0.12,0.030555555555555555,42.39443545140276
0.12,0.031000000000000003,42.66806203362491
0.12,0.04,44.85281726453835
0.12,0.04333333333333333,45.543168870955036
0.12,0.056111111111111105,47.55818070599338
0.12,0.06888888888888889,48.71417792655804
0.12,0.08166666666666667,50.17934463639624
0.12,0.09444444444444444,51.392399065546066
0.12,0.10722222222222222,52.396355411962894
0.12,0.12,52.238927841039455
0.12,0.132,24.523523618002507
0.14,0.004,24.670193521101528
0.14,0.005,26.968660395897043
0.14,0.013000000000000001,4.713287702934432
0.14,0.02,38.65014473008035
0.14,0.022000000000000002,39.40023694222022
0.14,0.031000000000000003,42.13982716392422
0.14,0.035,42.91508191917342
0.14,0.04,44.01343871303963
0.14,0.05,45.95726079022625
0.14,0.065,47.961207033128154
0.14,0.08000000000000002,49.46706185628947
0.14,0.09500000000000001,50.71157389221925
0.14,0.11000000000000001,51.92635334421026
0.14,0.125,52.929197412522484
0.14,0.14,53.16846412031897
0.14,0.15400000000000003,24.778415623027833
0.16,0.004,23.484707886782022
0.16,0.005,25.661164741575675
0.16,0.013000000000000001,34.06500824818481
0.16,0.022000000000000002,38.209861334211546
0.16,0.022222222222222223,38.38640278280886
0.16,0.031000000000000003,41.27932939308495
0.16,0.03944444444444444,43.17708345102293
0.16,0.04,43.024803242671794
0.16,0.056666666666666664,46.240678604856924
0.16,0.07388888888888889,48.483542477105914
0.16,0.09111111111111111,49.598641477950636
0.16,0.10833333333333334,51.08828856027873
0.16,0.12555555555555556,52.08966140265333
0.16,0.14277777777777778,53.30438304064511
0.16,0.16,52.50811686117654
0.16,0.17600000000000002,24.62133994814711
0.18,0.004,23.03081827515738
0.18,0.005,25.65083562074298
0.18,0.013000000000000001,33.66133912746632
0.18,0.022000000000000002,37.674918481529566
0.18,0.024444444444444446,38.95845974424004
0.18,0.031000000000000003,40.84603188539435
0.18,0.04,42.7608977846178
0.18,0.04388888888888889,43.74492836567117
0.18,0.06333333333333334,46.82934311305483
0.18,0.08277777777777778,48.959001177650336
0.18,0.10222222222222223,49.83242389476533
0.18,0.12166666666666667,51.48020069327809
0.18,0.14111111111111113,52.55125332926063
0.18,0.16055555555555556,53.29395184865092
0.18,0.18,46.587622190389524
0.18,0.198,25.097727991657166
0.2,0.004,22.70060867105258
0.2,0.005,24.989419731971374
0.2,0.013000000000000001,32.68883035090849
0.2,0.022000000000000002,37.00011835516375
0.2,0.02666666666666667,38.96715672573721
0.2,0.031000000000000003,40.334185750628144
0.2,0.04,42.410351414945566
0.2,0.04833333333333333,43.897115438548504
0.2,0.07,47.018534770191565
0.2,0.09166666666666667,49.206836628583915
0.2,0.11333333333333334,49.779713098631895
0.2,0.135,51.322705250526084
0.2,0.15666666666666668,52.06090566512991
0.2,0.17833333333333334,47.119344599725295
0.2,0.2,39.36930129302691
0.2,0.22000000000000003,25.388620255797537
FS, Input, SNDR
0.035,0.004,14.796008400391013
0.035,0.005,18.05474209601951
0.035,0.008333333333333333,21.974954512834728
0.035,0.011666666666666667,25.845363551665134
0.035,0.013000000000000001,26.42768488652918
0.035,0.015,24.42813187195012
0.035,0.018333333333333333,27.794880076480286
0.035,0.021666666666666667,30.107503534422683
0.035,0.022000000000000002,30.28214003139294
0.035,0.025,31.684195503577364
0.035,0.028333333333333335,33.25477386607074
0.035,0.031000000000000003,34.101756173730976
0.035,0.03166666666666667,34.243576615873
0.035,0.035,34.02131687284936
0.035,0.038500000000000006,25.643699399706463
0.035,0.04,22.09744471324505
0.04,0.004,27.478078584923033
0.04,0.005,18.00492784418037
0.04,0.008888888888888889,25.3558153454955
0.04,0.012777777777777779,29.4110738598496
0.04,0.013000000000000001,29.57426799613751
0.04,0.016666666666666666,30.141505710400853
0.04,0.020555555555555556,32.305142733132435
0.04,0.022000000000000002,33.2370541848888
0.04,0.024444444444444446,34.51763071719834
0.04,0.028333333333333335,35.64201455055753
0.04,0.031000000000000003,36.76168549872115
0.04,0.03222222222222222,37.13751649695907
0.04,0.036111111111111115,37.73726952644675
0.04,0.04,37.50303633775426
0.04,0.04,37.50303633775426
0.04,0.044000000000000004,25.887542005112614
0.045,0.004,27.75453991677096
0.045,0.005,29.499556861471273
0.045,0.009444444444444445,29.00535089893358
0.045,0.013000000000000001,32.54845241756388
0.045,0.013888888888888888,33.3256295946424
0.045,0.018333333333333333,36.08325501876294
0.045,0.022000000000000002,37.26234128493422
0.045,0.02277777777777778,37.685135172332544
0.045,0.027222222222222224,39.33123520126046
0.045,0.031000000000000003,39.50776109178578
0.045,0.03166666666666666,39.478738045894055
0.045,0.03611111111111111,40.58697795495446
0.045,0.04,41.26980124661719
0.045,0.04055555555555555,41.47015360014963
0.045,0.045,40.73569660670628
0.045,0.0495,25.585619608497918
0.05,0.004,27.852494459736718
0.05,0.005,29.82848309230168
0.05,0.010000000000000002,33.35360849661062
0.05,0.013000000000000001,36.162993162142854
0.05,0.015000000000000003,37.58778179884483
0.05,0.020000000000000004,39.785698644668535
0.05,0.022000000000000002,39.72547361600726
0.05,0.025000000000000005,41.401879956749866
0.05,0.030000000000000006,43.15680304794757
0.05,0.031000000000000003,43.15122270011098
0.05,0.035,43.818110031276305
0.05,0.04,44.38376276233064
0.05,0.04,44.38376276233064
0.05,0.045000000000000005,45.42503199326353
0.05,0.05,44.21419044626708
0.05,0.05500000000000001,26.18859768291663
0.06,0.004,27.641556485305458
0.06,0.005,29.420347388792102
0.06,0.011111111111111112,36.32533010352836
0.06,0.013000000000000001,37.452443647815706
0.06,0.017222222222222222,39.86037995300637
0.06,0.022000000000000002,41.917198216529776
0.06,0.023333333333333334,42.55778225782241
0.06,0.029444444444444447,43.875052131795556
0.06,0.031000000000000003,44.25125822294598
0.06,0.035555555555555556,45.528467778441275
0.06,0.04,46.4924323933662
0.06,0.041666666666666664,46.76285522425321
0.06,0.04777777777777778,47.76550300560145
0.06,0.05388888888888889,48.74694614094405
0.06,0.06,47.2692190559946
0.06,0.066,25.268368373303588
0.07,0.004,27.432277574899423
0.07,0.005,29.09018753261829
0.07,0.012222222222222223,36.798366513877646
0.07,0.013000000000000001,37.40598757189022
0.07,0.019444444444444445,40.863138628051495
0.07,0.022000000000000002,41.829729079264965
0.07,0.02666666666666667,43.36987047023555
0.07,0.031000000000000003,44.51865202139796
0.07,0.03388888888888889,44.906888821276596
0.07,0.04,46.206051328005024
0.07,0.04111111111111111,46.41450173330588
0.07,0.04833333333333333,47.88743973761654
0.07,0.05555555555555556,48.77037263191097
0.07,0.06277777777777778,49.772387481774736
0.07,0.07,48.402486501834474
0.07,0.07700000000000001,25.493159605914006
0.08,0.004,27.19428017647935
0.08,0.005,28.9007892920771
0.08,0.013000000000000001,37.15019783561813
0.08,0.013333333333333332,37.25863822261578
0.08,0.021666666666666667,41.288290685673765
0.08,0.022000000000000002,41.481073879309676
0.08,0.030000000000000002,44.02743032641244
0.08,0.031000000000000003,44.33544847094805
0.08,0.03833333333333333,45.56189944527651
0.08,0.04,45.780665495359536
0.08,0.04666666666666666,47.123271079310584
0.08,0.055,48.586966777543466
0.08,0.06333333333333334,49.497063510776144
0.08,0.07166666666666667,50.63290578891272
0.08,0.08,49.68307324472721
0.08,0.08800000000000001,25.349385143495358
0.09,0.004,26.557650275728022
0.09,0.005,28.61191581538663
0.09,0.013000000000000001,36.8866574076805
0.09,0.014444444444444444,37.63462228194126
0.09,0.022000000000000002,40.91768900844454
0.09,0.023888888888888887,41.831165239253
0.09,0.031000000000000003,43.9462665664166
0.09,0.033333333333333326,44.56948689989267
0.09,0.04,46.11573552071186
0.09,0.04277777777777777,46.16512248272508
0.09,0.05222222222222221,47.78943982476441
0.09,0.061666666666666654,49.04015691142774
0.09,0.0711111111111111,50.01540877252815
0.09,0.08055555555555555,51.23986338654283
0.09,0.09,50.16440530775449
0.09,0.099,24.728829004838573
0.1,0.004,26.71770186639167
0.1,0.005,28.47929444074772
0.1,0.013000000000000001,36.5527114292291
0.1,0.015555555555555555,38.21817450020872
0.1,0.022000000000000002,40.949364304551644
0.1,0.026111111111111113,42.435443360474814
0.1,0.031000000000000003,43.67000922514069
0.1,0.03666666666666667,44.94263583767947
0.1,0.04,45.80712270945122
0.1,0.04722222222222222,46.56066245998162
0.1,0.057777777777777775,48.148149790259
0.1,0.06833333333333334,49.80040422024939
0.1,0.0788888888888889,50.810040942905815
0.1,0.08944444444444445,51.6657953737772
0.1,0.1,51.164455370346104
0.1,0.11000000000000001,25.041496153047405
0.12,0.004,25.576939895840127
0.12,0.005,27.277665214610856
0.12,0.013000000000000001,35.431724363686776
0.12,0.017777777777777778,38.484268969205985
0.12,0.022000000000000002,40.068387915611574
0.12,0.030555555555555555,42.39443545140276
0.12,0.031000000000000003,42.66806203362491
0.12,0.04,44.85281726453835
0.12,0.04333333333333333,45.543168870955036
0.12,0.056111111111111105,47.55818070599338
0.12,0.06888888888888889,48.71417792655804
0.12,0.08166666666666667,50.17934463639624
0.12,0.09444444444444444,51.392399065546066
0.12,0.10722222222222222,52.396355411962894
0.12,0.12,52.238927841039455
0.12,0.132,24.523523618002507
0.14,0.004,24.670193521101528
0.14,0.005,26.968660395897043
0.14,0.013000000000000001,4.713287702934432
0.14,0.02,38.65014473008035
0.14,0.022000000000000002,39.40023694222022
0.14,0.031000000000000003,42.13982716392422
0.14,0.035,42.91508191917342
0.14,0.04,44.01343871303963
0.14,0.05,45.95726079022625
0.14,0.065,47.961207033128154
0.14,0.08000000000000002,49.46706185628947
0.14,0.09500000000000001,50.71157389221925
0.14,0.11000000000000001,51.92635334421026
0.14,0.125,52.929197412522484
0.14,0.14,53.16846412031897
0.14,0.15400000000000003,24.778415623027833
0.16,0.004,23.484707886782022
0.16,0.005,25.661164741575675
0.16,0.013000000000000001,34.06500824818481
0.16,0.022000000000000002,38.209861334211546
0.16,0.022222222222222223,38.38640278280886
0.16,0.031000000000000003,41.27932939308495
0.16,0.03944444444444444,43.17708345102293
0.16,0.04,43.024803242671794
0.16,0.056666666666666664,46.240678604856924
0.16,0.07388888888888889,48.483542477105914
0.16,0.09111111111111111,49.598641477950636
0.16,0.10833333333333334,51.08828856027873
0.16,0.12555555555555556,52.08966140265333
0.16,0.14277777777777778,53.30438304064511
0.16,0.16,52.50811686117654
0.16,0.17600000000000002,24.62133994814711
0.18,0.004,23.03081827515738
0.18,0.005,25.65083562074298
0.18,0.013000000000000001,33.66133912746632
0.18,0.022000000000000002,37.674918481529566
0.18,0.024444444444444446,38.95845974424004
0.18,0.031000000000000003,40.84603188539435
0.18,0.04,42.7608977846178
0.18,0.04388888888888889,43.74492836567117
0.18,0.06333333333333334,46.82934311305483
0.18,0.08277777777777778,48.959001177650336
0.18,0.10222222222222223,49.83242389476533
0.18,0.12166666666666667,51.48020069327809
0.18,0.14111111111111113,52.55125332926063
0.18,0.16055555555555556,53.29395184865092
0.18,0.18,46.587622190389524
0.18,0.198,25.097727991657166
0.2,0.004,22.70060867105258
0.2,0.005,24.989419731971374
0.2,0.013000000000000001,32.68883035090849
0.2,0.022000000000000002,37.00011835516375
0.2,0.02666666666666667,38.96715672573721
0.2,0.031000000000000003,40.334185750628144
0.2,0.04,42.410351414945566
0.2,0.04833333333333333,43.897115438548504
0.2,0.07,47.018534770191565
0.2,0.09166666666666667,49.206836628583915
0.2,0.11333333333333334,49.779713098631895
0.2,0.135,51.322705250526084
0.2,0.15666666666666668,52.06090566512991
0.2,0.17833333333333334,47.119344599725295
0.2,0.2,39.36930129302691
0.2,0.22000000000000003,25.388620255797537
FS, Input, SNDR
0.035,0.004,14.796008400391013
0.035,0.005,18.05474209601951
0.035,0.008333333333333333,21.974954512834728
0.035,0.011666666666666667,25.845363551665134
0.035,0.013000000000000001,26.42768488652918
0.035,0.015,24.42813187195012
0.035,0.018333333333333333,27.794880076480286
0.035,0.021666666666666667,30.107503534422683
0.035,0.022000000000000002,30.28214003139294
0.035,0.025,31.684195503577364
0.035,0.028333333333333335,33.25477386607074
0.035,0.031000000000000003,34.101756173730976
0.035,0.03166666666666667,34.243576615873
0.035,0.035,34.02131687284936
0.035,0.038500000000000006,25.643699399706463
0.035,0.04,22.09744471324505
0.04,0.004,27.478078584923033
0.04,0.005,18.00492784418037
0.04,0.008888888888888889,25.3558153454955
0.04,0.012777777777777779,29.4110738598496
0.04,0.013000000000000001,29.57426799613751
0.04,0.016666666666666666,30.141505710400853
0.04,0.020555555555555556,32.305142733132435
0.04,0.022000000000000002,33.2370541848888
0.04,0.024444444444444446,34.51763071719834
0.04,0.028333333333333335,35.64201455055753
0.04,0.031000000000000003,36.76168549872115
0.04,0.03222222222222222,37.13751649695907
0.04,0.036111111111111115,37.73726952644675
0.04,0.04,37.50303633775426
0.04,0.04,37.50303633775426
0.04,0.044000000000000004,25.887542005112614
0.045,0.004,27.75453991677096
0.045,0.005,29.499556861471273
0.045,0.009444444444444445,29.00535089893358
0.045,0.013000000000000001,32.54845241756388
0.045,0.013888888888888888,33.3256295946424
0.045,0.018333333333333333,36.08325501876294
0.045,0.022000000000000002,37.26234128493422
0.045,0.02277777777777778,37.685135172332544
0.045,0.027222222222222224,39.33123520126046
0.045,0.031000000000000003,39.50776109178578
0.045,0.03166666666666666,39.478738045894055
0.045,0.03611111111111111,40.58697795495446
0.045,0.04,41.26980124661719
0.045,0.04055555555555555,41.47015360014963
0.045,0.045,40.73569660670628
