Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11
-0.000474000,0,1,0,0,1,1,1,1,1,1,0,0
-0.000083000,0,0,0,0,0,0,0,0,0,0,0,0
-0.000077000,0,1,0,0,1,1,1,1,1,1,0,0
0.000000000,0,1,0,0,1,1,1,1,1,1,0,1
0.000500000,0,1,0,0,1,1,1,1,1,1,0,0
0.000917000,0,0,0,0,0,0,0,0,0,0,0,0
0.000923000,1,0,0,0,1,1,1,1,1,1,0,0
0.001000000,1,0,0,0,1,1,1,1,1,1,0,1
0.001500000,1,0,0,0,1,1,1,1,1,1,0,0
0.001917000,0,0,0,0,0,0,0,0,0,0,0,0
0.001923000,0,1,0,0,1,1,1,1,1,1,0,0
0.002000000,0,1,0,0,1,1,1,1,1,1,0,1
0.002500000,0,1,0,0,1,1,1,1,1,1,0,0
0.002917000,0,0,0,0,0,0,0,0,0,0,0,0
0.002923000,1,1,1,1,0,1,1,1,1,1,0,0
0.003000000,1,1,1,1,0,1,1,1,1,1,0,1
0.003500000,1,1,1,1,0,1,1,1,1,1,0,0
0.003917000,0,0,0,0,0,0,0,0,0,0,0,0
0.003923000,0,0,1,0,1,1,1,1,1,1,0,0
0.004000000,0,0,1,0,1,1,1,1,1,1,0,1
0.004500000,0,0,1,0,1,1,1,1,1,1,0,0
0.004917000,0,0,0,0,0,0,0,0,0,0,0,0
0.004923000,1,1,0,0,1,1,1,1,1,1,0,0
0.005000000,1,1,0,0,1,1,1,1,1,1,0,1
0.005500000,1,1,0,0,1,1,1,1,1,1,0,0
0.005917000,0,0,0,0,0,0,0,0,0,0,0,0
0.005923000,1,0,0,0,1,1,1,1,1,1,0,0
0.006000000,1,0,0,0,1,1,1,1,1,1,0,1
0.006500000,1,0,0,0,1,1,1,1,1,1,0,0
0.006917000,0,0,0,0,0,0,0,0,0,0,0,0
0.006923000,1,0,0,0,1,1,1,1,1,1,0,0
0.007000000,1,0,0,0,1,1,1,1,1,1,0,1
0.007500000,1,0,0,0,1,1,1,1,1,1,0,0
0.007917000,0,0,0,0,0,0,0,0,0,0,0,0
0.007923000,0,1,0,0,1,1,1,1,1,1,0,0
0.008000000,0,1,0,0,1,1,1,1,1,1,0,1
0.008500000,0,1,0,0,1,1,1,1,1,1,0,0
0.008917000,0,0,0,0,0,0,0,0,0,0,0,0
0.008923000,0,1,0,0,1,1,1,1,1,1,0,0
0.009000000,0,1,0,0,1,1,1,1,1,1,0,1
0.009500000,0,1,0,0,1,1,1,1,1,1,0,0
0.009917000,0,0,0,0,0,0,0,0,0,0,0,0
0.009923000,1,1,1,1,0,1,1,1,1,1,0,0
0.010000000,1,1,1,1,0,1,1,1,1,1,0,1
0.010500000,1,1,1,1,0,1,1,1,1,1,0,0
0.010917000,0,0,0,0,0,0,0,0,0,0,0,0
0.010923000,1,0,0,0,1,1,1,1,1,1,0,0
0.011000000,1,0,0,0,1,1,1,1,1,1,0,1
0.011500000,1,0,0,0,1,1,1,1,1,1,0,0
0.011916000,0,0,0,0,1,1,1,1,1,1,0,0
0.011917000,0,0,0,0,0,0,0,0,0,0,0,0
0.011923000,0,1,0,0,1,1,1,1,1,1,0,0
